Ano,Mês,Município,Pescado,Tipo de Pesca,valor estimado no período
2017,1,Santos/Guarujá,Abrótea,Industrial,"R$ 785,10"
2017,1,Santos/Guarujá,Anequim,Industrial,"R$ 15.000,00"
2017,1,Santos/Guarujá,Atuns agrupados,Industrial,"R$ 1.170,00"
2017,1,Santos/Guarujá,Bagre,Industrial,"R$ 1.128,00"
2017,1,Santos/Guarujá,Bagre-amarelo,Artesanal,"R$ 38,00"
2017,1,Santos/Guarujá,Bagre-branco,Artesanal,"R$ 105,00"
2017,1,Santos/Guarujá,Bagre-branco,Industrial,"R$ 3.418,43"
2017,1,Santos/Guarujá,Betara,Artesanal,"R$ 794,45"
2017,1,Santos/Guarujá,Betara,Industrial,"R$ 54.764,63"
2017,1,Santos/Guarujá,Bicuda,Industrial,"R$ 130,00"
2017,1,Santos/Guarujá,Bonitos agrupados,Industrial,"R$ 38.400,00"
2017,1,Santos/Guarujá,Cabrinha,Artesanal,"R$ 750,00"
2017,1,Santos/Guarujá,Cabrinha,Industrial,"R$ 29.796,88"
2017,1,Santos/Guarujá,Cação-azul,Industrial,"R$ 16.500,00"
2017,1,Santos/Guarujá,Cação-rola-rola,Industrial,"R$ 960,00"
2017,1,Santos/Guarujá,Camarão-legítimo,Artesanal,"R$ 63.283,69"
2017,1,Santos/Guarujá,Camarão-legítimo,Industrial,"R$ 3.390,00"
2017,1,Santos/Guarujá,Camarão-rosa,Artesanal,"R$ 14.633,33"
2017,1,Santos/Guarujá,Camarão-rosa,Industrial,"R$ 374.562,00"
2017,1,Santos/Guarujá,Camarão-sete-barbas,Artesanal,"R$ 277.777,88"
2017,1,Santos/Guarujá,Caranguejo-uçá,Artesanal,"R$ 26.109,08"
2017,1,Santos/Guarujá,Carapau,Industrial,"R$ 6.430,00"
2017,1,Santos/Guarujá,Castanha,Industrial,"R$ 2.127,60"
2017,1,Santos/Guarujá,Corvina,Artesanal,"R$ 7.948,25"
2017,1,Santos/Guarujá,Corvina,Industrial,"R$ 196.068,18"
2017,1,Santos/Guarujá,Espada,Artesanal,"R$ 142,75"
2017,1,Santos/Guarujá,Espada,Industrial,"R$ 465.448,99"
2017,1,Santos/Guarujá,Espadarte,Industrial,"R$ 17.500,00"
2017,1,Santos/Guarujá,Galo,Industrial,"R$ 40.210,00"
2017,1,Santos/Guarujá,Garoupa,Industrial,"R$ 295,00"
2017,1,Santos/Guarujá,Goete,Artesanal,"R$ 200,00"
2017,1,Santos/Guarujá,Goete,Industrial,"R$ 155.284,64"
2017,1,Santos/Guarujá,Gordinho,Industrial,"R$ 5.630,83"
2017,1,Santos/Guarujá,Guaivira,Artesanal,"R$ 2.647,50"
2017,1,Santos/Guarujá,Guaivira,Industrial,"R$ 3.492,00"
2017,1,Santos/Guarujá,Linguado,Industrial,"R$ 29.516,67"
2017,1,Santos/Guarujá,Linguado-areia,Industrial,"R$ 720,00"
2017,1,Santos/Guarujá,Lula,Industrial,"R$ 91.677,13"
2017,1,Santos/Guarujá,Machote,Artesanal,"R$ 120,00"
2017,1,Santos/Guarujá,Maria-luíza,Artesanal,"R$ 160,00"
2017,1,Santos/Guarujá,Maria-luíza,Industrial,"R$ 180,00"
2017,1,Santos/Guarujá,Maria-mole,Industrial,"R$ 267,10"
2017,1,Santos/Guarujá,Mexilhão,Artesanal,"R$ 15.687,50"
2017,1,Santos/Guarujá,Mistura,Artesanal,"R$ 8.374,71"
2017,1,Santos/Guarujá,Mistura,Industrial,"R$ 23.144,32"
2017,1,Santos/Guarujá,Namorado,Industrial,"R$ 1.297,00"
2017,1,Santos/Guarujá,Olho-de-cão,Industrial,"R$ 7.722,00"
2017,1,Santos/Guarujá,Oveva,Artesanal,"R$ 1.705,00"
2017,1,Santos/Guarujá,Oveva,Industrial,"R$ 4.162,50"
2017,1,Santos/Guarujá,Palombeta,Industrial,"R$ 90.000,00"
2017,1,Santos/Guarujá,Pampo,Artesanal,"R$ 151,00"
2017,1,Santos/Guarujá,Pargo-rosa,Industrial,"R$ 148,45"
2017,1,Santos/Guarujá,Pescada-amarela,Artesanal,"R$ 4.968,75"
2017,1,Santos/Guarujá,Pescada-banana,Artesanal,"R$ 112,50"
2017,1,Santos/Guarujá,Pescada-banana,Industrial,"R$ 375,00"
2017,1,Santos/Guarujá,Pescada-branca,Artesanal,"R$ 40,00"
2017,1,Santos/Guarujá,Pescada-branca,Industrial,"R$ 32.660,00"
2017,1,Santos/Guarujá,Pescada-cambucu,Artesanal,"R$ 371,25"
2017,1,Santos/Guarujá,Pescada-foguete,Artesanal,"R$ 84.956,50"
2017,1,Santos/Guarujá,Pescada-foguete,Industrial,"R$ 53.315,25"
2017,1,Santos/Guarujá,Polvo,Artesanal,"R$ 600,00"
2017,1,Santos/Guarujá,Polvo,Industrial,"R$ 195.356,00"
2017,1,Santos/Guarujá,Porco,Artesanal,"R$ 6.500,00"
2017,1,Santos/Guarujá,Porco,Industrial,"R$ 34.809,40"
2017,1,Santos/Guarujá,Porco-chinelo,Industrial,"R$ 710,00"
2017,1,Santos/Guarujá,Raia-emplastro,Industrial,"R$ 525,00"
2017,1,Santos/Guarujá,Raias agrupadas,Industrial,"R$ 410,00"
2017,1,Santos/Guarujá,Robalo-flecha,Artesanal,"R$ 355,00"
2017,1,Santos/Guarujá,Robalo-peva,Artesanal,"R$ 3.014,75"
2017,1,Santos/Guarujá,Robalo-peva,Industrial,"R$ 660,00"
2017,1,Santos/Guarujá,Roncador,Industrial,"R$ 17.420,00"
2017,1,Santos/Guarujá,Sapateira,Industrial,"R$ 1.850,00"
2017,1,Santos/Guarujá,Saquaritá,Artesanal,"R$ 83,00"
2017,1,Santos/Guarujá,Sargo,Artesanal,"R$ 138,00"
2017,1,Santos/Guarujá,Siri-azul,Artesanal,"R$ 852,50"
2017,1,Santos/Guarujá,Siris agrupados,Artesanal,"R$ 50,00"
2017,1,Santos/Guarujá,Tira-vira,Industrial,"R$ 2.345,00"
2017,1,Santos/Guarujá,Trilha,Industrial,"R$ 3.722,70"
2017,1,Santos/Guarujá,Vermelho,Artesanal,"R$ 4,50"
2017,1,Santos/Guarujá,Vermelho,Industrial,"R$ 47,50"
2017,1,Santos/Guarujá,Viola,Industrial,"R$ 4.785,00"
2017,1,Santos/Guarujá,,Artesanal,"R$ 0,00"
2017,2,Santos/Guarujá,Abrótea,Industrial,"R$ 503,35"
2017,2,Santos/Guarujá,Agulhão-negro,Industrial,"R$ 6.960,00"
2017,2,Santos/Guarujá,Anequim,Artesanal,"R$ 240,00"
2017,2,Santos/Guarujá,Anequim,Industrial,"R$ 49.400,00"
2017,2,Santos/Guarujá,Atuns agrupados,Industrial,"R$ 4.500,00"
2017,2,Santos/Guarujá,Bagre,Industrial,"R$ 3.018,60"
2017,2,Santos/Guarujá,Bagre-branco,Artesanal,"R$ 84,00"
2017,2,Santos/Guarujá,Bagre-branco,Industrial,"R$ 7.475,75"
2017,2,Santos/Guarujá,Betara,Artesanal,"R$ 412,00"
2017,2,Santos/Guarujá,Betara,Industrial,"R$ 37.971,82"
2017,2,Santos/Guarujá,Bicuda,Artesanal,"R$ 59,00"
2017,2,Santos/Guarujá,Bicuda,Industrial,"R$ 1.589,40"
2017,2,Santos/Guarujá,Bonitos agrupados,Industrial,"R$ 27.118,00"
2017,2,Santos/Guarujá,Cabrinha,Artesanal,"R$ 650,00"
2017,2,Santos/Guarujá,Cabrinha,Industrial,"R$ 38.888,39"
2017,2,Santos/Guarujá,Cação-azul,Industrial,"R$ 68.700,00"
2017,2,Santos/Guarujá,Cação-rola-rola,Industrial,"R$ 1.062,50"
2017,2,Santos/Guarujá,Cações agrupados,Industrial,"R$ 680,00"
2017,2,Santos/Guarujá,Camarão-legítimo,Artesanal,"R$ 103.870,05"
2017,2,Santos/Guarujá,Camarão-rosa,Artesanal,"R$ 20.800,00"
2017,2,Santos/Guarujá,Camarão-rosa,Industrial,"R$ 1.002.876,50"
2017,2,Santos/Guarujá,Camarão-sete-barbas,Artesanal,"R$ 585.260,62"
