Data,TEMP DO AR (º),TEMP MAX (ºC),TEMP MIN (ºC)
2023-10-31,2700,,2200
2023-10-30,2300,,1800
2023-10-30,2400,3100,
2023-10-29,2700,,2000
2023-10-29,2600,2800,
2023-10-28,2400,,2100
2023-10-28,2300,1700,
2023-10-27,2200,,1800
2023-10-27,2100,2500,
2023-10-26,2200,,2000
2023-10-26,2300,2600,
2023-10-25,2400,,2000
2023-10-24,2300,2700,
2023-10-23,2300,,2000
2023-10-23,2300,2400,
2023-10-22,2300,,1800
2023-10-22,2100,2400,
2023-10-21,2200,,1700
2023-10-21,2100,2200,
2023-10-20,2200,,2100
2023-10-20,2200,2300,
2023-10-19,2200,,1900
2023-10-19,2300,2800,
2023-10-18,2300,,1800
2023-10-18,2500,2800,
2023-10-17,2400,,2100
2023-10-17,2600,2800,
2023-10-16,2300,,1800
2023-10-15,2100,,1700
2023-10-15,2000,2300,
2023-10-14,2100,,1800
2023-10-14,2300,2800,
2023-10-13,2400,,1900
2023-10-13,2400,4100,
2023-10-12,2800,,1900
2023-10-11,2300,,1900
2023-10-11,2300,,1900
2023-10-11,2300,2500,
2023-10-10,2400,,2000
2023-10-09,2500,,1700
2023-10-09,2500,2900,
2023-10-08,2400,,2200
2023-10-08,2600,3400,
2023-10-07,2600,,2100
2023-10-06,2300,,1800
2023-10-06,2400,2500,
2023-10-04,2400,,1900
2023-10-04,2300,2100,
2023-10-03,2100,,2000
2023-10-03,2100,2400,
2023-10-02,2200,,1900
2023-10-02,2200,2400,
2023-10-01,2000,,1800
2023-10-01,2300,3500,
2023-09-30,2200,,3100
2023-09-29,2300,,2200
2023-09-29,2100,2300,
2023-09-27,2400,2500,
2023-09-26,2400,2800,
2023-09-25,2400,3100,
2023-09-24,2300,,2100
2023-10-31,2700,,2200
2023-10-30,2300,,1800
2023-10-30,2400,3100,
2023-10-29,2700,,2000
2023-10-29,2600,2800,
2023-10-28,2400,,2100
2023-10-28,2300,1700,
2023-10-27,2200,,1800
2023-10-27,2100,2500,
2023-10-26,2200,,2000
2023-10-26,2300,2600,
2023-10-25,2400,,2000
2023-10-24,2300,2700,
2023-10-23,2300,,2000
2023-10-23,2300,2400,
2023-10-22,2300,,1800
2023-10-22,2100,2400,
2023-10-21,2200,,1700
2023-10-21,2100,2200,
2023-10-20,2200,,2100
2023-10-20,2200,2300,
2023-10-19,2200,,1900
2023-10-19,2300,2800,
2023-10-18,2300,,1800
2023-10-18,2500,2800,
2023-10-17,2400,,2100
2023-10-17,2600,2800,
2023-10-16,2300,,1800
2023-10-15,2100,,1700
2023-10-15,2000,2300,
2023-10-14,2100,,1800
2023-10-14,2300,2800,
2023-10-13,2400,,1900
2023-10-13,2400,4100,
2023-10-12,2800,,1900
2023-10-11,2300,,1900
2023-10-11,2300,,1900
2023-10-11,2300,2500,
2023-10-10,2400,,2000
2023-10-09,2500,,1700
2023-10-09,2500,2900,
2023-10-08,2400,,2200
2023-10-08,2600,3400,
2023-10-07,2600,,2100
2023-10-06,2300,,1800
2023-10-06,2400,2500,
2023-10-04,2400,,1900
2023-10-04,2300,2100,
2023-10-03,2100,,2000
2023-10-03,2100,2400,
2023-10-02,2200,,1900
2023-10-02,2200,2400,
2023-10-01,2000,,1800
2023-10-01,2300,3500,
2023-09-30,2200,,3100
2023-09-29,2300,,2200
2023-09-29,2100,2300,
2023-09-27,2400,2500,
2023-09-26,2400,2800,
2023-09-25,2400,3100,
2023-09-24,2300,,2100
2023-08-18,2300,,1900
2023-08-18,2100,2600,
2023-08-17,2200,,2100
2023-08-17,2100,2500,
2023-08-16,2200,,2100
2023-08-16,2100,2500,
2023-08-15,2000,,2000
2023-08-15,2000,2000,
2023-08-14,2000,,2000
2023-08-14,2200,2500,
2023-08-13,2400,,2200
2023-08-13,2300,2800,
2023-08-12,2300,,2100
2023-08-12,2300,2800,
2023-08-11,2500,,2100
2023-08-11,2300,2800,
2023-08-10,2300,,2100
2023-08-09,2000,2400,
2023-08-09,2000,,1900
2023-08-09,2200,2700,
2023-08-08,2400,,2300
2023-08-08,2100,3500,
2023-08-07,2200,2900,
2023-08-06,2300,,2000
2023-08-06,2400,2900,
2023-08-05,2200,,2100
